秒	SECOND
年月日	YMD
年月	YM
時分	HM
時分秒	HMS
タイムスタンプ	TIMESTAMP
期間	PERIOD
開始日	START DATE
終了日	END DATE
期限	DEADLINE
有効期限	EXPIRY DATE
締切	CUTOFF
スケジュール	SCHEDULE
予定	APPOINTMENT
カレンダー	CALENDAR
曜日	DAY OF WEEK
祝日	HOLIDAY
営業日	BUSINESS DAY
休日	HOLIDAY
平日	WEEKDAY
週末	WEEKEND
四半期	QUARTER
半期	HALF YEAR
年度	FISCAL YEAR
会計年度	ACCOUNTING YEAR
営業年度	BUSINESS YEAR
月度	MONTHLY
週	WEEK
番号	NUMBER
連番	SERIAL NUMBER
シーケンス	SEQUENCE
採番	NUMBERING
自動採番	AUTO NUMBER
手動	MANUAL
自動	AUTO
バッチ	BATCH
リアルタイム	REALTIME
オンライン	ONLINE
オフライン	OFFLINE
同期	SYNC
非同期	ASYNC
並列	PARALLEL
直列	SERIAL
マスタ	MASTER
トランザクション	TRANSACTION
履歴	HISTORY
ログ	LOG
監査	AUDIT
追跡	TRACE
バージョン	VERSION
リビジョン	REVISION
世代	GENERATION
新	NEW
旧	OLD
現在	CURRENT
過去	PAST
未来	FUTURE
一時	TEMPORARY
永続	PERSISTENT
キャッシュ	CACHE
メモリ	MEMORY
ディスク	DISK
ファイル	FILE
フォルダ	FOLDER
ディレクトリ	DIRECTORY
パス	PATH
拡張子	EXTENSION
サイズ	SIZE
容量	CAPACITY
使用量	USAGE
空き容量	FREE SPACE
設定	SETTING
構成	CONFIGURATION
環境	ENVIRONMENT
変数	VARIABLE
定数	CONSTANT
パラメータ	PARAMETER
引数	ARGUMENT
戻り値	RETURN VALUE
結果	RESULT
出力	OUTPUT
入力	INPUT
データ	DATA
情報	INFORMATION
コンテンツ	CONTENT
テキスト	TEXT
文字列	STRING
数値	NUMBER
整数	INTEGER
小数	DECIMAL
浮動小数点	FLOAT
真偽値	BOOLEAN
配列	ARRAY
リスト	LIST
辞書	DICTIONARY
マップ	MAP
セット	SET
キュー	QUEUE
スタック	STACK
ツリー	TREE
グラフ	GRAPH
ノード	NODE
エッジ	EDGE
ルート	ROOT
リーフ	LEAF
親	PARENT
子	CHILD
兄弟	SIBLING
深さ	DEPTH
レベル	LEVEL
階層	HIERARCHY
分類	CLASSIFICATION
カテゴリ	CATEGORY
グループ	GROUP
チーム	TEAM
組織	ORGANIZATION
部門	DIVISION
セクション	SECTION
班	SQUAD
プロジェクト	PROJECT
タスク	TASK
アクティビティ	ACTIVITY
ワークフロー	WORKFLOW
ステップ	STEP
フェーズ	PHASE
段階	STAGE
進捗	PROGRESS
完了率	COMPLETION RATE
残作業	REMAINING WORK
締切日	DUE DATE
担当者	ASSIGNEE
責任者	RESPONSIBLE
承認者	APPROVER
確認者	REVIEWER
作成者	CREATOR
更新者	UPDATER
削除者	DELETER
実行者	EXECUTOR
利用者	USER
関係者	STAKEHOLDER
品質	QUALITY
精度	ACCURACY
信頼性	RELIABILITY
可用性	AVAILABILITY
保守性	MAINTAINABILITY
拡張性	SCALABILITY
互換性	COMPATIBILITY
移植性	PORTABILITY
再利用性	REUSABILITY
効率性	EFFICIENCY
性能	PERFORMANCE
速度	SPEED
応答時間	RESPONSE TIME
スループット	THROUGHPUT
レイテンシ	LATENCY
帯域	BANDWIDTH
容量	CAPACITY
負荷	LOAD
ストレス	STRESS
テスト	TEST
試験	EXAM
検証	VERIFICATION
妥当性確認	VALIDATION
確認	CONFIRMATION
チェック	CHECK
監視	MONITOR
計測	MEASUREMENT
測定	MEASUREMENT
分析	ANALYSIS
評価	EVALUATION
判定	JUDGMENT
診断	DIAGNOSIS
調査	INVESTIGATION
レポート	REPORT
報告書	REPORT
文書	DOCUMENT
仕様書	SPECIFICATION
設計書	DESIGN DOCUMENT
手順書	PROCEDURE MANUAL
マニュアル	MANUAL
ガイド	GUIDE
ヘルプ	HELP
FAQ	FAQ
チュートリアル	TUTORIAL
サンプル	SAMPLE
例	EXAMPLE
テンプレート	TEMPLATE
フォーマット	FORMAT
形式	FORMAT
種類	TYPE
タイプ	TYPE
区分	DIVISION
分類	CATEGORY
項目	ITEM
要素	ELEMENT
属性	ATTRIBUTE
プロパティ	PROPERTY
メタデータ	METADATA
アノテーション	ANNOTATION
コメント	COMMENT
備考	REMARK
説明	DESCRIPTION
詳細	DETAIL
概要	OVERVIEW
要約	SUMMARY
タイトル	TITLE
見出し	HEADING
ラベル	LABEL
キャプション	CAPTION
タグ	TAG
マーク	MARK
印	SIGN
記号	SYMBOL
アイコン	ICON
画像	IMAGE
写真	PHOTO
図	FIGURE
表	TABLE
グラフ	GRAPH
チャート	CHART
ダイアグラム	DIAGRAM
フローチャート	FLOWCHART
構成図	CONFIGURATION DIAGRAM
システム図	SYSTEM DIAGRAM
ネットワーク図	NETWORK DIAGRAM
データフロー図	DATA FLOW DIAGRAM
ER図	ENTITY RELATIONSHIP DIAGRAM
クラス図	CLASS DIAGRAM
シーケンス図	SEQUENCE DIAGRAM
状態遷移図	STATE TRANSITION DIAGRAM
ガントチャート	GANTT CHART
スケジュール表	SCHEDULE TABLE
カレンダー	CALENDAR
予定表	SCHEDULE
時間割	TIMETABLE
工程表	PROCESS CHART
手順	PROCEDURE
工程	PROCESS
プロセス	PROCESS
ワークフロー	WORKFLOW
業務フロー	BUSINESS FLOW
処理フロー	PROCESS FLOW
データフロー	DATA FLOW
制御フロー	CONTROL FLOW
例外フロー	EXCEPTION FLOW
分岐	BRANCH
条件	CONDITION
判定	DECISION
選択	SELECTION
ループ	LOOP
繰り返し	ITERATION
再帰	RECURSION
関数	FUNCTION
メソッド	METHOD
プロシージャ	PROCEDURE
サブルーチン	SUBROUTINE
モジュール	MODULE
コンポーネント	COMPONENT
クラス	CLASS
インターフェース	INTERFACE
抽象クラス	ABSTRACT CLASS
継承	INHERITANCE
実装	IMPLEMENTATION
オーバーライド	OVERRIDE
ポリモーフィズム	POLYMORPHISM
カプセル化	ENCAPSULATION
抽象化	ABSTRACTION
依存性注入	DEPENDENCY INJECTION
制御の反転	INVERSION OF CONTROL
デザインパターン	DESIGN PATTERN
シングルトン	SINGLETON
ファクトリ	FACTORY
ビルダー	BUILDER
オブザーバー	OBSERVER
ストラテジー	STRATEGY
コマンド	COMMAND
アダプター	ADAPTER
デコレーター	DECORATOR
プロキシ	PROXY
ファサード	FACADE
テンプレートメソッド	TEMPLATE METHOD
イテレーター	ITERATOR
コンポジット	COMPOSITE
状態	STATE
戦略	STRATEGY
責任の連鎖	CHAIN OF RESPONSIBILITY
メディエーター	MEDIATOR
メメント	MEMENTO
ビジター	VISITOR
プロトタイプ	PROTOTYPE
アーキテクチャ	ARCHITECTURE
フレームワーク	FRAMEWORK
ライブラリ	LIBRARY
API	API
SDK	SDK
プラットフォーム	PLATFORM
OS	OPERATING SYSTEM
ミドルウェア	MIDDLEWARE
アプリケーション	APPLICATION
サービス	SERVICE
サーバー	SERVER
クライアント	CLIENT
ブラウザ	BROWSER
ウェブ	WEB
インターネット	INTERNET
イントラネット	INTRANET
ネットワーク	NETWORK
プロトコル	PROTOCOL
HTTP	HTTP
HTTPS	HTTPS
FTP	FTP
SMTP	SMTP
POP3	POP3
IMAP	IMAP
DNS	DNS
TCP	TCP
UDP	UDP
IP	IP
URL	URL
URI	URI
ポート	PORT
ホスト	HOST
ドメイン	DOMAIN
サブドメイン	SUBDOMAIN
SSL	SSL
TLS	TLS
証明書	CERTIFICATE
認証局	CERTIFICATE AUTHORITY
公開鍵	PUBLIC KEY
秘密鍵	PRIVATE KEY
デジタル署名	DIGITAL SIGNATURE
ハッシュ	HASH
チェックサム	CHECKSUM
CRC	CRC
MD5	MD5
SHA	SHA
暗号	CIPHER
暗号化	ENCRYPTION
復号化	DECRYPTION
圧縮	COMPRESSION
展開	DECOMPRESSION
アーカイブ	ARCHIVE
ZIP	ZIP
RAR	RAR
TAR	TAR
GZIP	GZIP
バイナリ	BINARY
テキスト	TEXT
ASCII	ASCII
UTF8	UTF8
UTF16	UTF16
UNICODE	UNICODE
エンコーディング	ENCODING
文字コード	CHARACTER CODE
改行	LINE BREAK
タブ	TAB
スペース	SPACE
区切り文字	DELIMITER
CSV	CSV
TSV	TSV
JSON	JSON
XML	XML
YAML	YAML
HTML	HTML
CSS	CSS
JavaScript	JAVASCRIPT
SQL	SQL
正規表現	REGULAR EXPRESSION
パターン	PATTERN
マッチング	MATCHING
置換	REPLACE
検索	SEARCH
抽出	EXTRACT
分割	SPLIT
結合	JOIN
連結	CONCATENATE
変換	CONVERT
フォーマット	FORMAT
パース	PARSE
シリアライズ	SERIALIZE
デシリアライズ	DESERIALIZE
マーシャル	MARSHAL
アンマーシャル	UNMARSHAL
トークン	TOKEN
字句解析	LEXICAL ANALYSIS
構文解析	SYNTAX ANALYSIS
意味解析	SEMANTIC ANALYSIS
コンパイル	COMPILE
インタープリット	INTERPRET
実行	EXECUTE
デバッグ	DEBUG
ブレークポイント	BREAKPOINT
ステップ実行	STEP EXECUTION
変数監視	VARIABLE WATCH
スタックトレース	STACK TRACE
プロファイル	PROFILE
ベンチマーク	BENCHMARK
最適化	OPTIMIZATION
リファクタリング	REFACTORING
コードレビュー	CODE REVIEW
単体テスト	UNIT TEST
結合テスト	INTEGRATION TEST
システムテスト	SYSTEM TEST
受入テスト	ACCEPTANCE TEST
回帰テスト	REGRESSION TEST
負荷テスト	LOAD TEST
ストレステスト	STRESS TEST
セキュリティテスト	SECURITY TEST
ユーザビリティテスト	USABILITY TEST
テストケース	TEST CASE
テストスイート	TEST SUITE
テストデータ	TEST DATA
モック	MOCK
スタブ	STUB
ダミー	DUMMY
フェイク	FAKE
スパイ	SPY
継続的統合	CONTINUOUS INTEGRATION
継続的配信	CONTINUOUS DELIVERY
継続的デプロイ	CONTINUOUS DEPLOYMENT
DevOps	DEVOPS
アジャイル	AGILE
スクラム	SCRUM
カンバン	KANBAN
イテレーション	ITERATION
スプリント	SPRINT
バックログ	BACKLOG
ユーザーストーリー	USER STORY
エピック	EPIC
スパイク	SPIKE
リリース	RELEASE
デプロイ	DEPLOY
配布	DISTRIBUTION
パッケージ	PACKAGE
インストール	INSTALL
アンインストール	UNINSTALL
アップデート	UPDATE
アップグレード	UPGRADE
ダウングレード	DOWNGRADE
パッチ	PATCH
ホットフィックス	HOTFIX
ロールアウト	ROLLOUT
ロールバック	ROLLBACK
移行	MIGRATION
マイグレーション	MIGRATION
インポート	IMPORT
エクスポート	EXPORT
同期	SYNC
バックアップ	BACKUP
リストア	RESTORE
復旧	RECOVERY
災害復旧	DISASTER RECOVERY
高可用性	HIGH AVAILABILITY
冗長化	REDUNDANCY
フェイルオーバー	FAILOVER
ロードバランシング	LOAD BALANCING
クラスタリング	CLUSTERING
分散	DISTRIBUTED
並列	PARALLEL
スケールアウト	SCALE OUT
スケールアップ	SCALE UP
クラウド	CLOUD
仮想化	VIRTUALIZATION
コンテナ	CONTAINER
Docker	DOCKER
Kubernetes	KUBERNETES
マイクロサービス	MICROSERVICES
サーバーレス	SERVERLESS
API	API
REST	REST
SOAP	SOAP
GraphQL	GRAPHQL
Webhook	WEBHOOK
RPC	RPC
メッセージキュー	MESSAGE QUEUE
パブリッシュ	PUBLISH
サブスクライブ	SUBSCRIBE
イベント	EVENT
ストリーミング	STREAMING
リアルタイム	REALTIME
非同期	ASYNCHRONOUS
同期	SYNCHRONOUS
コールバック	CALLBACK
Promise	PROMISE
Future	FUTURE
Observable	OBSERVABLE
リアクティブ	REACTIVE
関数型	FUNCTIONAL
オブジェクト指向	OBJECT ORIENTED
手続き型	PROCEDURAL
宣言型	DECLARATIVE
命令型	IMPERATIVE
イミュータブル	IMMUTABLE
ミュータブル	MUTABLE
純粋関数	PURE FUNCTION
副作用	SIDE EFFECT
高階関数	HIGHER ORDER FUNCTION
クロージャ	CLOSURE
ラムダ	LAMBDA
匿名関数	ANONYMOUS FUNCTION
カリー化	CURRYING
部分適用	PARTIAL APPLICATION
モナド	MONAD
ファンクター	FUNCTOR
アプリカティブ	APPLICATIVE
型	TYPE
型システム	TYPE SYSTEM
静的型付け	STATIC TYPING
動的型付け	DYNAMIC TYPING
強い型付け	STRONG TYPING
弱い型付け	WEAK TYPING
型推論	TYPE INFERENCE
ジェネリクス	GENERICS
テンプレート	TEMPLATE
マクロ	MACRO
メタプログラミング	METAPROGRAMMING
リフレクション	REFLECTION
イントロスペクション	INTROSPECTION
アノテーション	ANNOTATION
属性	ATTRIBUTE
デコレータ	DECORATOR
AOP	ASPECT ORIENTED PROGRAMMING
横断的関心事	CROSS CUTTING CONCERN
アスペクト	ASPECT
ポイントカット	POINTCUT
アドバイス	ADVICE
ウィービング	WEAVING
プロファイリング	PROFILING
メモリリーク	MEMORY LEAK
ガベージコレクション	GARBAGE COLLECTION
参照	REFERENCE
ポインタ	POINTER
メモリ管理	MEMORY MANAGEMENT
スタック	STACK
ヒープ	HEAP
キャッシュ	CACHE
バッファ	BUFFER
プール	POOL
スレッド	THREAD
プロセス	PROCESS
マルチスレッド	MULTITHREAD
マルチプロセス	MULTIPROCESS
並行性	CONCURRENCY
並列性	PARALLELISM
排他制御	MUTUAL EXCLUSION
セマフォ	SEMAPHORE
ロック	LOCK
デッドロック	DEADLOCK
競合状態	RACE CONDITION
原子性	ATOMICITY
一貫性	CONSISTENCY
分離性	ISOLATION
永続性	DURABILITY
ACID	ACID
BASE	BASE
CAP定理	CAP THEOREM
結果整合性	EVENTUAL CONSISTENCY
分散システム	DISTRIBUTED SYSTEM
コンセンサス	CONSENSUS
レプリケーション	REPLICATION
シャーディング	SHARDING
パーティショニング	PARTITIONING
インデックス	INDEX
キーバリューストア	KEY VALUE STORE
NoSQL	NOSQL
ドキュメントデータベース	DOCUMENT DATABASE
グラフデータベース	GRAPH DATABASE
時系列データベース	TIME SERIES DATABASE
メモリデータベース	IN MEMORY DATABASE
データウェアハウス	DATA WAREHOUSE
データマート	DATA MART
ETL	EXTRACT TRANSFORM LOAD
ELT	EXTRACT LOAD TRANSFORM
データパイプライン	DATA PIPELINE
ストリーム処理	STREAM PROCESSING
バッチ処理	BATCH PROCESSING
リアルタイム処理	REALTIME PROCESSING
機械学習	MACHINE LEARNING
人工知能	ARTIFICIAL INTELLIGENCE
深層学習	DEEP LEARNING
ニューラルネットワーク	NEURAL NETWORK
畳み込み	CONVOLUTION
再帰	RECURRENT
トランスフォーマー	TRANSFORMER
注意機構	ATTENTION
教師あり学習	SUPERVISED LEARNING
教師なし学習	UNSUPERVISED LEARNING
強化学習	REINFORCEMENT LEARNING
特徴量	FEATURE
ラベル	LABEL
予測	PREDICTION
分類	CLASSIFICATION
回帰	REGRESSION
クラスタリング	CLUSTERING
次元削減	DIMENSIONALITY REDUCTION
異常検知	ANOMALY DETECTION
推薦システム	RECOMMENDATION SYSTEM
自然言語処理	NATURAL LANGUAGE PROCESSING
画像処理	IMAGE PROCESSING
音声処理	SPEECH PROCESSING
コンピュータビジョン	COMPUTER VISION
統計	STATISTICS
確率	PROBABILITY
ベイズ	BAYES
頻度	FREQUENCY
分布	DISTRIBUTION
正規分布	NORMAL DISTRIBUTION
指数分布	EXPONENTIAL DISTRIBUTION
一様分布	UNIFORM DISTRIBUTION
二項分布	BINOMIAL DISTRIBUTION
ポアソン分布	POISSON DISTRIBUTION
平均	MEAN
中央値	MEDIAN
最頻値	MODE
分散	VARIANCE
標準偏差	STANDARD DEVIATION
共分散	COVARIANCE
相関	CORRELATION
回帰分析	REGRESSION ANALYSIS
線形回帰	LINEAR REGRESSION
ロジスティック回帰	LOGISTIC REGRESSION
重回帰	MULTIPLE REGRESSION
時系列分析	TIME SERIES ANALYSIS
トレンド	TREND
季節性	SEASONALITY
周期性	PERIODICITY
予測	FORECAST
精度	PRECISION
再現率	RECALL
F値	F SCORE
ROC	RECEIVER OPERATING CHARACTERISTIC
AUC	AREA UNDER CURVE
混同行列	CONFUSION MATRIX
交差検証	CROSS VALIDATION
ホールドアウト	HOLDOUT
ブートストラップ	BOOTSTRAP
アンサンブル	ENSEMBLE
バギング	BAGGING
ブースティング	BOOSTING
ランダムフォレスト	RANDOM FOREST
勾配ブースティング	GRADIENT BOOSTING
決定木	DECISION TREE
ナイーブベイズ	NAIVE BAYES
SVM	SUPPORT VECTOR MACHINE
K平均法	K MEANS
階層クラスタリング	HIERARCHICAL CLUSTERING
DBSCAN	DBSCAN
主成分分析	PRINCIPAL COMPONENT ANALYSIS
独立成分分析	INDEPENDENT COMPONENT ANALYSIS
t-SNE	T DISTRIBUTED STOCHASTIC NEIGHBOR EMBEDDING
UMAP	UNIFORM MANIFOLD APPROXIMATION PROJECTION
